Order	Chromosome	basepair	genetic distance				Order	Chromosome	basepair	genetic distance
1	1	17554	0				304	5	18135785	0.20843003
2	1	117438	0.008309414				311	5	22420249	0.25
3	1	258949	0.012031282				312	5	23230632	0.226043194
4	1	357590	0.010819544				441	8	708728	0.241351405
5	1	453179	0.010778661				459	8	3696541	0.205242391
6	1	679311	0.007000269				470	8	6781102	0.243012832
7	1	771869	0.014480374				811	13	10858421	0.202116783
8	1	915660	0.011506882				812	13	11426124	0.23849513
9	1	1051705	0.03019734							
10	1	1219540	0.01309791							
11	1	1398223	0.009426316							
12	1	1578825	0.016371272							
13	1	1817648	0.015664761							
14	1	2074244	0.024760546							
15	1	2291734	0.012464763							
16	1	2523778	0.008091861							
17	1	2627131	0.015336683							
18	1	2806753	0.017881576							
19	1	3062114	0.020614676							
20	1	3184925	0.042944645							
21	1	3329658	0.014900448							
22	1	3545176	0.023967213							
23	1	3832535	0.03027285							
24	1	4045010	0.030774629							
25	1	4250675	0.045781643							
26	1	4565830	0.013497417							
27	1	4881953	0.007733704							
28	1	5321227	0.032196152							
29	1	5635871	0.035238746							
30	1	6075166	0.028839278							
31	1	6462758	0.016535306							
32	1	6789239	0							
33	1	7097603	0							
34	1	7479885	0							
35	1	7924151	0							
36	1	8243857	0							
37	1	8592876	0.001057596							
38	1	9488376	0							
39	1	10739203	0							
40	1	11036427	0.002103739							
41	1	11379365	0.001680459							
42	1	11737373	0							
43	1	12024605	0.158152636							
44	1	12624539								
45	2	20005	0.002521902							
46	2	194699	0.002508915							
47	2	263359	0.022924446							
48	2	395711	0.011380283							
49	2	533521	0.004500986							
50	2	693630	0.004775806							
51	2	772944	0.008838327							
52	2	919164	0.008630943							
53	2	1080101	0.008734238							
54	2	1198783	0.011612517							
55	2	1390070	0.008874344							
56	2	1580582	0.010741027							
57	2	1663908	0.008266991							
58	2	1872091	0.027835809							
59	2	2021114	0.002053202							
60	2	2164922	0.005944928							
61	2	2325060	0.006887241							
62	2	2466736	0.005971422							
63	2	2625199	0.013617509							
64	2	2724289	0.019264605							
65	2	2956167	0.004314668							
66	2	3077753	0.013498591							
67	2	3240883	0.036909867							
68	2	3373597	0.000607347							
69	2	3783116	0.00175371							
70	2	3920117	0.005055964							
71	2	4151805	0.005669267							
72	2	4600893	0.002587667							
73	2	4724644	0							
74	2	4852618	0.029946105							
75	2	4954496	0.016829737							
76	2	5322687	0							
77	2	5643518	0							
78	2	5897728	0.003776572							
79	2	6073904	0.001823177							
80	2	6503836	0.00326879							
81	2	6838657	0							
82	2	7583233	0.001816688							
83	2	7776216	0.004305232							
84	2	8105536	0							
85	2	8654766	0.00083606							
86	2	9059856	0.001886086							
87	2	10586373	0.001404485							
88	2	10775889	0							
89	2	11380263	0							
90	2	11588509	0.001219582							
91	2	12050813	0.003214679							
92	2	12655176	0.011657389							
93	2	13016318	0.014900366							
94	2	13457397	0.035754364							
95	2	14018694	0.005283259							
96	2	14333273	0.03524075							
97	2	14625711	0.02271213							
98	2	15026343	0.016196206							
99	2	15336497	0.008662732							
100	2	15578265	0.014268959							
101	2	15955741	0.011593631							
102	2	16241175	0.027501522							
103	2	16601621	0.014010366							
104	2	16737104	0.029277732							
105	2	16953683	0.022778524							
106	2	17190555	0.032556253							
107	2	17362652	0.012715025							
108	2	17628527	0.02554803							
109	2	17828037	0.020740136							
110	2	18056377	0.027977188							
111	2	18246400	0.013103726							
112	2	18397368	0.004210571							
113	2	18568302	0.006350743							
114	2	18741708	0							
115	2	18865634								
116	3	81516	0.064362716							
117	3	573381	0							
118	3	915714	0.004568718							
119	3	1428675	0							
120	3	2024550	0.002078064							
121	3	2339247	0.001972271							
122	3	2798458	0							
123	3	3199540	0.007980683							
124	3	3501694	0.001146738							
125	3	3723086	0							
126	3	4066788	0							
127	3	4363184	0.004084014							
128	3	4643085	0.020885552							
129	3	4936095	0.005168417							
130	3	5815892	0.010183862							
131	3	6613474	0.023185381							
132	3	8194450	0.010864726							
133	3	8869249	0.00206418							
134	3	9162740	0.005553266							
135	3	9519037	0.00721651							
136	3	9939118	0							
137	3	10089271	0							
138	3	10334257	0.000981313							
139	3	10666746	0							
140	3	11077563	0.001366334							
141	3	11206785	0.001420108							
142	3	11375239	0							
143	3	11634150	0.00156752							
144	3	11921455	0							
145	3	12568028	0.007151429							
146	3	12833582	0.025066858							
